"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1889","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","Update a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","350","@smoke GET -- get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
"","976","@regression GET -- get location data","chromium","2026-07-01","passed","2026-07-01","","api/amadeus.oauth2.spec.ts","",""
"","1853","@regression PUT - update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","2544","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","3173","@smoke home page title test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","3692","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","2240","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","357","@regression PUT API -- Update a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","Delete a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","3459","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","3549","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2306","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","get user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","2441","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","2863","@smoke intercept and log requests","chromium","2026-07-01","passed","2026-07-01","","api/intercept.spec.ts","",""
"","2551","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","3803","@regression verify product images count","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-07-01","skipped","2026-07-01","","api/intercept.spec.ts","",""
"","2190","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1510","@regression POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","2242","invalid login test with JSON data - invalid@open.com","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2341","invalid login test with JSON data - wrong@open.com","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Pro","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","317","@regression POST API -- create a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3112","@regression login to app using wrong credentials with Data driven test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","214","@@regression mock search data api","chromium","2026-07-01","passed","2026-07-01","","api/intercept.spec.ts","",""
"","392","@regression DELETE API -- Delete a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","675","@smoke GET -- get a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
"","1903","@regression forgot pwd link exist test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","2866","@regression home page headers exist test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","0","@regression invalid login test with - - pw1234","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","1","create a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","0","login page title test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","1938","@smoke login page title test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2430","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2821","@smoke logout link exist test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","348","@regression GET API -- get all users","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2320","@regression invalid login test with excel data -","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1672","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1797","@regression DELETE - delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","3737","@regression verify product Information/Data","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","2624","@smoke user is able to login to app test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","logout link exist test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
