"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42872","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","42766","invalid login test with JSON data - invalid@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","0","logout link exist test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","43445","@regression invalid login test with excel data -","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","42801","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","1","Update a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","43433","invalid login test with JSON data - wrong@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","40357","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","43712","@regression home page headers exist test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Pro","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-07-01","skipped","2026-07-01","","api/intercept.spec.ts","",""
"","42737","@regression forgot pwd link exist test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","43442","@smoke logout link exist test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","0","create a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Air","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","43002","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","248","@@regression mock search data api","chromium","2026-07-01","passed","2026-07-01","","api/intercept.spec.ts","",""
"","0","get user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","0","Delete a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","1052","@smoke GET -- get a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
"","43327","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","42876","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","40180","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","43429","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40363","@smoke home page title test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","42827","@regression verify product images count","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","465","@regression GET API -- get all users","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","43674","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","2090","@regression DELETE - delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","357","@regression POST API -- create a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
