"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43243","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","1170","@smoke GET -- get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
"","398","@regression POST API -- create a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","42962","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40286","@regression home page headers exist test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","43029","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","0","@regression invalid login test with - - pw1234","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","43449","@smoke logout link exist test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","1504","@regression GET API -- get all users","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3814","@smoke GET -- get a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
"","43071","@regression invalid login test with excel data -","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","43275","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","396","@regression PUT API -- Update a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","5240","@regression PUT - update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","253","@@regression mock search data api","chromium","2026-07-01","passed","2026-07-01","","api/intercept.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","974","@regression GET -- get location data","chromium","2026-07-01","passed","2026-07-01","","api/amadeus.oauth2.spec.ts","",""
"","5200","@regression POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","0","Update a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","42974","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","0","get user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","40261","@regression login to app using wrong credentials with Data driven test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","42804","@smoke home page title test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","43264","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","40190","@regression forgot pwd link exist test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","42839","@smoke login page title test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40251","@regression verify product Information/Data","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","40286","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40199","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","43332","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","40272","invalid login test with JSON data - invalid@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","42946","@regression verify product images count","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","43358","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","0","logout link exist test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","5843","@regression DELETE - delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","3","mock search page with fake HTML","chromium","2026-07-01","skipped","2026-07-01","","api/intercept.spec.ts","",""
"","371","@regression DELETE API -- Delete a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","1","login page title test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","43250","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40168","@smoke intercept and log requests","chromium","2026-07-01","broken","2026-07-01","","api/intercept.spec.ts","",""
"","42997","@smoke user is able to login to app test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","0","create a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Pro","chromium","2026-07-01","skipped","2026-07-01","","search.spec.ts","",""
"","43232","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","40246","invalid login test with JSON data - wrong@open.com","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","1","Delete a user test","chromium","2026-07-01","skipped","2026-07-01","","api/users.api.spec.ts","",""
